content_id,campaign_id,influencer_id,content_type,content_platform,content_upload_at,content_is_ad_reusablee
con-0001,cam-0002,Inf-0200,reels,instagram,2026-05-24 09:39:00,true
con-0002,cam-0002,Inf-0186,video,youtube,2026-05-24 12:19:00,true
con-0003,cam-0002,Inf-0030,feed,instagram,2026-05-25 14:53:00,true
con-0004,cam-0002,Inf-0086,story,instagram,2026-05-25 16:28:00,true
con-0005,cam-0002,Inf-0125,story,instagram,2026-05-25 17:03:00,true
con-0006,cam-0001,Inf-0060,blog,naver,2026-05-26 10:55:00,false
con-0007,cam-0001,Inf-0121,feed,instagram,2026-05-26 14:04:00,true
con-0008,cam-0001,Inf-0051,reels,instagram,2026-05-26 14:48:00,true
con-0009,cam-0001,Inf-0032,video,youtube,2026-05-27 01:15:00,false
con-0010,cam-0001,Inf-0097,story,instagram,2026-05-27 03:45:00,true
con-0011,cam-0002,Inf-0137,reels,instagram,2026-05-27 04:11:00,false
con-0012,cam-0001,Inf-0159,shorts,youtube,2026-05-27 08:16:00,true
con-0013,cam-0001,Inf-0178,shorts,youtube,2026-05-27 15:50:00,false
con-0014,cam-0001,Inf-0109,story,instagram,2026-05-28 15:49:00,false
con-0015,cam-0001,Inf-0022,video,youtube,2026-05-28 21:28:00,false
con-0016,cam-0001,Inf-0126,video,youtube,2026-05-29 15:46:00,true
con-0017,cam-0002,Inf-0038,video,youtube,2026-05-29 23:31:00,true
con-0018,cam-0002,Inf-0029,story,instagram,2026-05-30 04:47:00,false
con-0019,cam-0002,Inf-0071,video,youtube,2026-05-30 06:11:00,true
con-0020,cam-0003,Inf-0078,blog,naver,2026-06-06 11:39:00,true
con-0021,cam-0003,Inf-0069,blog,naver,2026-06-06 16:13:00,true
con-0022,cam-0003,Inf-0072,cafe,naver,2026-06-06 16:36:00,false
con-0023,cam-0003,Inf-0099,shorts,youtube,2026-06-07 14:02:00,false
con-0024,cam-0003,Inf-0113,story,instagram,2026-06-08 04:47:00,true
con-0025,cam-0003,Inf-0139,feed,instagram,2026-06-09 00:58:00,true
con-0026,cam-0003,Inf-0134,shorts,youtube,2026-06-09 22:37:00,true
con-0027,cam-0003,Inf-0151,reels,instagram,2026-06-09 23:13:00,true
con-0028,cam-0003,Inf-0074,video,youtube,2026-06-10 16:52:00,true
con-0029,cam-0003,Inf-0129,reels,instagram,2026-06-11 02:18:00,false
con-0030,cam-0003,Inf-0065,cafe,naver,2026-06-12 06:20:00,true
con-0031,cam-0003,Inf-0189,blog,naver,2026-06-12 08:16:00,true
con-0032,cam-0003,Inf-0103,video,youtube,2026-06-12 09:43:00,true
con-0033,cam-0003,Inf-0095,story,instagram,2026-06-12 22:11:00,false
