influencer_id,influencer_name,influencer_created_at,influencer_registration_type,influencer_platform,influencer_category,influencer_followers_count,influencer_posts,influencer_avg_likes,influencer_avg_comments,influencer_engagement_rate,influencer_recent_post_at
Inf-0001,zrathbourne0,2025-12-02 09:57:47,스포츠크루 및 커뮤니티,Instagram,바레,65010,71,302.49,241.75,0.84,2026-02-17 11:09:28
Inf-0002,kalred1,2025-10-04 15:03:03,개인 인플루언서,Instagram,크로스핏,90294,159,805.09,331.81,1.26,2026-04-12 02:27:17
Inf-0003,lelgey2,2025-07-03 21:59:09,웰니스 피트니스 센터,YouTube,요가,75232,250,239.19,228.8,0.62,2026-02-17 09:38:13
Inf-0004,hcasson3,2025-10-25 05:41:08,웰니스 피트니스 센터,YouTube,요가,53117,270,405.2,178.78,1.1,2026-02-26 01:28:20
Inf-0005,lmangam4,2025-11-11 03:06:02,스포츠크루 및 커뮤니티,YouTube,러닝,55393,221,619.5,528.73,2.07,2026-04-10 05:26:51
Inf-0006,ofritche5,2026-01-07 14:57:25,대회 및 이벤트,Naver,하이룩스,67874,188,652.79,118.92,1.14,2026-02-23 04:17:23
Inf-0007,fskace6,2025-12-16 20:04:41,스포츠크루 및 커뮤니티,Instagram,크로스핏,95678,330,243.26,77.63,0.34,2026-04-11 22:06:18
Inf-0008,tportch7,2025-12-12 10:33:22,개인 인플루언서,Instagram,크로스핏,34680,64,165.25,155.17,0.92,2026-04-09 18:02:23
Inf-0009,mmedlicott8,2025-11-14 09:43:11,웰니스 피트니스 센터,Instagram,하이룩스,76974,163,836.49,183.23,1.32,2026-03-07 22:30:11
Inf-0010,kmulbry9,2025-12-26 05:01:15,개인 인플루언서,YouTube,하이룩스,1805,184,85.84,8.05,5.2,2026-03-26 21:27:30
Inf-0011,jorneblowa,2025-08-06 10:04:20,스포츠크루 및 커뮤니티,Instagram,러닝,78307,450,338.78,192.77,0.68,2026-04-13 05:28:57
Inf-0012,jtornsb,2025-07-31 16:14:29,웰니스 피트니스 센터,YouTube,헬스 및 웨이트,19749,220,637.5,529.34,5.91,2026-03-19 20:05:33
Inf-0013,sveitchc,2025-06-19 11:53:25,개인 인플루언서,Naver,필라테스,64795,443,50.11,5.01,0.09,2026-03-31 17:09:38
Inf-0014,hjedrysd,2025-06-27 07:16:04,개인 인플루언서,Instagram,러닝,50050,55,71.85,6.89,0.16,2026-03-05 06:30:49
Inf-0015,qbreagane,2025-09-17 07:35:09,개인 인플루언서,YouTube,크로스핏,57476,92,37.95,35.32,0.13,2026-04-05 06:07:28
Inf-0016,jmcgauhyf,2025-10-15 10:11:26,스포츠크루 및 커뮤니티,Instagram,헬스 및 웨이트,40808,259,141.16,98.82,0.59,2026-03-10 06:48:08
Inf-0017,tmanjing,2025-09-30 09:45:26,스포츠크루 및 커뮤니티,Naver,필라테스,37508,192,356.35,310.04,1.78,2026-03-31 22:11:54
Inf-0018,mhowlingsh,2025-11-26 22:59:22,개인 인플루언서,Instagram,필라테스,95064,288,412.79,0.77,0.44,2026-02-20 13:49:00
Inf-0019,schomiczi,2025-09-28 21:20:42,개인 인플루언서,Instagram,요가,44152,470,288.96,96.06,0.87,2026-02-27 07:31:10
Inf-0020,awillmontj,2025-08-16 20:26:46,웰니스 피트니스 센터,Naver,F45,78763,202,691.8,463,1.47,2026-03-29 01:54:23
Inf-0021,qcollenk,2025-07-11 17:42:42,웰니스 피트니스 센터,YouTube,헬스 및 웨이트,98841,50,960,41.37,1.01,2026-04-11 07:53:31
Inf-0022,ryoselevitchl,2025-11-15 14:00:31,개인 인플루언서,YouTube,수영,83747,459,749.06,259.11,1.2,2026-03-25 04:22:44
Inf-0023,ttilliardsm,2025-10-19 08:06:48,스포츠크루 및 커뮤니티,Instagram,기타,58744,448,665.26,285.79,1.62,2026-03-23 11:13:50
Inf-0024,cfeaseyn,2025-07-27 09:53:46,개인 인플루언서,Instagram,F45,87655,493,969.77,952.81,2.19,2026-03-09 03:18:40
Inf-0025,rfedoronkoo,2025-07-22 17:54:15,웰니스 피트니스 센터,Instagram,하이룩스,16024,426,548.12,3.58,3.44,2026-03-06 22:00:04
