payment_item_id,payment_user_id,client_id,campaign_id,content_id,influencer_id,payment_at,payment_method,payment_amount,product_name,discount_code,referral_link
payite-0001,payuse-0001,cli-0001,,,,2026-05-14 5:52,NaverPay,50000,ROAR 여성 수영복 세트 (수영모+수영복+수경),,
payite-0002,payuse-0002,cli-0001,cam-0003,con-0021,Inf-0069,2026-05-14 12:30,TossPay,18000,ROAR 수영 샴푸,LIONSWIM_mcoulbeck1w,
payite-0003,payuse-0003,cli-0001,,,,2026-05-18 1:28,신용카드,50000,ROAR 여성 수영복 세트 (수영모+수영복+수경),,
payite-0004,payuse-0004,cli-0001,,,,2026-05-21 21:33,NaverPay,20000,ROAR 수영 샴푸,,
payite-0005,payuse-0005,cli-0001,,,,2026-05-22 4:43,NaverPay,50000,ROAR 남성 수영복 세트 (수영모+수영복+수경),,
payite-0006,payuse-0006,cli-0001,,,,2026-05-23 10:03,KakaoPay,20000,ROAR 수영 샴푸,,
payite-0007,payuse-0007,cli-0001,cam-0002,con-0001,Inf-0200,2026-05-24 0:36,KakaoPay,50000,ROAR 남성 수영복 세트 (수영모+수영복+수경),,https://wellink.com/signup?ref=Inf-0200
payite-0008,payuse-0008,cli-0001,cam-0002,con-0011,Inf-0137,2026-05-24 15:30,TossPay,50000,ROAR 여성 수영복 세트 (수영모+수영복+수경),,https://wellink.com/signup?ref=Inf-0137
payite-0009,payuse-0009,cli-0001,cam-0002,con-0018,Inf-0029,2026-05-25 0:58,TossPay,45000,ROAR 남성 수영복 세트 (수영모+수영복+수경),LIONSWIM_tlokers,
payite-0010,payuse-0009,cli-0001,cam-0002,con-0018,Inf-0029,2026-05-25 0:58,TossPay,45000,ROAR 남성 수영복 세트 (수영모+수영복+수경),LIONSWIM_tlokers,
payite-0011,payuse-0010,cli-0001,cam-0001,con-0010,Inf-0097,2026-05-25 2:36,NaverPay,20000,ROAR 수영 샴푸,,https://wellink.com/signup?ref=Inf-0097
payite-0012,payuse-0011,cli-0001,cam-0001,con-0007,Inf-0121,2026-05-25 7:14,KakaoPay,45000,ROAR 여성 수영복 세트 (수영모+수영복+수경),LIONSWIM_jbreche3c,
payite-0013,payuse-0012,cli-0001,,,,2026-05-25 15:39,KakaoPay,50000,ROAR 여성 수영복 세트 (수영모+수영복+수경),,
payite-0014,payuse-0013,cli-0001,cam-0001,con-0008,Inf-0051,2026-05-25 16:12,NaverPay,50000,ROAR 여성 수영복 세트 (수영모+수영복+수경),,https://wellink.com/signup?ref=Inf-0051
payite-0015,payuse-0013,cli-0001,cam-0001,con-0008,Inf-0051,2026-05-25 16:12,NaverPay,50000,ROAR 여성 수영복 세트 (수영모+수영복+수경),,https://wellink.com/signup?ref=Inf-0051
payite-0016,payuse-0014,cli-0001,cam-0001,con-0013,Inf-0178,2026-05-25 18:05,NaverPay,45000,ROAR 남성 수영복 세트 (수영모+수영복+수경),LIONSWIM_wvergo4x,
