sns_metric_id,client_id,campaign_id,content_id,sns_metric_at,sns_view_count,sns_reach_count,sns_impression_count,sns_like_count,sns_comment_count,sns_save_count,sns_share_count,sns_engagement_rate
snsmet-0001,cli-0001,cam-0002,con-0001,2026-05-25 09:39:00,15795,1930,3783,123,7,16,5,7.823834196891191
snsmet-0002,cli-0001,cam-0002,con-0001,2026-05-26 09:39:00,817,11185,21388,853,59,177,15,9.870362092087618
snsmet-0003,cli-0001,cam-0002,con-0001,2026-05-27 09:39:00,32434,12823,20061,395,10,111,33,4.281369414333619
snsmet-0004,cli-0001,cam-0002,con-0001,2026-05-28 09:39:00,17892,3735,6334,89,8,6,12,3.0789825970548863
snsmet-0005,cli-0001,cam-0002,con-0001,2026-05-29 09:39:00,2256,2317,3294,149,7,42,2,8.631851532153648
snsmet-0006,cli-0001,cam-0002,con-0001,2026-05-30 09:39:00,626,1889,2551,102,4,22,2,6.881948120698782
snsmet-0007,cli-0001,cam-0002,con-0001,2026-05-31 09:39:00,842,785,1233,55,3,3,4,8.280254777070063
snsmet-0008,cli-0001,cam-0002,con-0002,2026-05-25 12:19:00,37194,,9823,1055,15,,148,3.2747217293111794
snsmet-0009,cli-0001,cam-0002,con-0002,2026-05-26 12:19:00,20863,,39876,1412,35,,76,7.300004793174519
snsmet-0010,cli-0001,cam-0002,con-0002,2026-05-27 12:19:00,40112,,8109,1287,98,,104,3.712106102911847
snsmet-0011,cli-0001,cam-0002,con-0002,2026-05-28 12:19:00,17652,,6545,526,9,,8,3.0761386811692724
snsmet-0012,cli-0001,cam-0002,con-0002,2026-05-29 12:19:00,3204,,922,95,6,,2,3.2147315855181025
snsmet-0013,cli-0001,cam-0002,con-0002,2026-05-30 12:19:00,4109,,2766,283,9,,41,8.104161596495498
snsmet-0014,cli-0001,cam-0002,con-0002,2026-05-31 12:19:00,84,,1932,5,0,,0,5.952380952380952
snsmet-0015,cli-0001,cam-0002,con-0003,2026-05-26 14:53:00,,2911,4214,149,5,39,1,6.664376502919958
snsmet-0016,cli-0001,cam-0002,con-0003,2026-05-27 14:53:00,,1647,3048,68,2,19,9,5.950212507589557
snsmet-0017,cli-0001,cam-0002,con-0003,2026-05-28 14:53:00,,15492,27076,1125,84,328,111,10.637748515362768
snsmet-0018,cli-0001,cam-0002,con-0003,2026-05-29 14:53:00,,3472,4618,151,5,35,19,6.048387096774194
snsmet-0019,cli-0001,cam-0002,con-0003,2026-05-30 14:53:00,,3872,7468,267,16,22,19,8.367768595041323
snsmet-0020,cli-0001,cam-0002,con-0003,2026-05-31 14:53:00,,1834,3407,85,4,20,6,6.270447110141767
snsmet-0021,cli-0001,cam-0002,con-0003,2026-06-01 14:53:00,,287,562,12,0,0,0,4.181184668989547
snsmet-0022,cli-0001,cam-0002,con-0004,2026-05-26 16:28:00,,2385,4246,,,,118,4.947589098532495
snsmet-0023,cli-0001,cam-0002,con-0004,2026-05-27 16:28:00,,10555,17845,,,,465,4.405495026054003
snsmet-0024,cli-0001,cam-0002,con-0004,2026-05-28 16:28:00,,4025,6176,,,,73,1.8136645962732918
snsmet-0025,cli-0001,cam-0002,con-0004,2026-05-29 16:28:00,,720,1401,,,,34,4.722222222222222
snsmet-0026,cli-0001,cam-0002,con-0004,2026-05-30 16:28:00,,1631,3087,,,,23,1.4101778050275904
snsmet-0027,cli-0001,cam-0002,con-0004,2026-05-31 16:28:00,,812,1003,,,,34,4.1871921182266005
snsmet-0028,cli-0001,cam-0002,con-0004,2026-06-01 16:28:00,,330,402,,,,8,2.4242424242424243
snsmet-0029,cli-0001,cam-0002,con-0005,2026-05-26 17:03:00,,14257,21402,,,,643,4.51006523111454
snsmet-0030,cli-0001,cam-0002,con-0005,2026-05-27 17:03:00,,13761,25436,,,,615,4.46915195116634
snsmet-0031,cli-0001,cam-0002,con-0005,2026-05-28 17:03:00,,14149,28153,,,,597,4.219379461446039
snsmet-0032,cli-0001,cam-0002,con-0005,2026-05-29 17:03:00,,5630,7433,,,,234,4.156305506216696
snsmet-0033,cli-0001,cam-0002,con-0005,2026-05-30 17:03:00,,1841,3084,,,,40,2.1727322107550244
snsmet-0034,cli-0001,cam-0002,con-0005,2026-05-31 17:03:00,,1637,2463,,,,21,1.2828344532681735
snsmet-0035,cli-0001,cam-0002,con-0005,2026-06-01 17:03:00,,591,1167,,,,15,2.5380710659898478
