ad_metric_id,client_id,ad_metric_date,ad_spend_amount,ad_impression_count,ad_reach_count,ad_frequency,ad_click_count,ad_ctr,ad_cpc,ad_cvr,ad_signup_count,ad_purchase_count,ad_review_count,ad_engagement_count,ad_roas
admet-0001,cli-0001,2026-05-14,145051,29178,27153,1.07,711,2.44,204.01,3.66,3,26,3,1058,3.61
admet-0002,cli-0001,2026-05-15,114130,28063,23650,1.19,673,2.4,169.58,4.9,10,33,1,1046,4.1
admet-0003,cli-0001,2026-05-16,127090,39064,28247,1.38,499,1.28,254.69,2.2,5,11,0,826,3.15
admet-0004,cli-0001,2026-05-17,70728,40027,29280,1.37,896,2.24,78.94,3.01,10,27,4,1425,3.69
admet-0005,cli-0001,2026-05-18,36934,6572,4247,1.55,118,1.8,313,4.24,8,5,1,199,3.89
admet-0006,cli-0001,2026-05-19,12263,17819,12605,1.41,185,1.04,66.29,3.24,1,6,0,329,3.62
admet-0007,cli-0001,2026-05-20,69163,4896,3029,1.62,139,2.84,497.58,2.88,15,4,5,222,2.02
admet-0008,cli-0001,2026-05-21,48217,38120,27147,1.4,626,1.64,77.02,3.19,11,20,4,1047,4.56
admet-0009,cli-0001,2026-05-22,31355,9901,6207,1.6,180,1.82,174.19,3.89,8,7,5,271,3.94
admet-0010,cli-0001,2026-05-23,32403,32708,23958,1.37,441,1.35,73.48,3.85,6,17,3,1095,4.68
admet-0011,cli-0001,2026-05-24,134766,18510,14292,1.3,343,1.85,392.9,2.33,12,8,3,700,2.3
admet-0012,cli-0001,2026-05-25,41270,8226,7746,1.06,103,1.25,400.68,1.94,12,2,1,251,2.42
admet-0013,cli-0001,2026-05-26,78516,18002,15788,1.14,452,2.51,173.71,2.88,10,13,3,768,3.48
admet-0014,cli-0001,2026-05-27,57483,12170,8556,1.42,145,1.19,396.43,3.45,6,5,1,348,3.83
admet-0015,cli-0001,2026-05-28,94518,26544,20412,1.3,394,1.48,239.89,3.3,6,13,0,626,3.49
admet-0016,cli-0001,2026-05-29,96929,40631,24640,1.65,880,2.17,110.15,2.5,15,22,0,1528,4.2
admet-0017,cli-0001,2026-05-30,78979,20413,14949,1.37,585,2.87,135.01,3.25,10,19,3,729,3.96
admet-0018,cli-0001,2026-05-31,31661,21375,18335,1.17,315,1.47,100.51,2.22,5,7,2,679,3.86
admet-0019,cli-0001,2026-06-01,91358,21446,12991,1.65,496,2.31,184.19,2.62,10,13,4,864,4.11
admet-0020,cli-0001,2026-06-02,75729,36255,33320,1.09,947,2.61,79.97,2.85,10,27,0,1295,4.19
admet-0021,cli-0001,2026-06-03,109086,9047,8299,1.09,210,2.32,519.46,1.9,6,4,1,342,1.56
admet-0022,cli-0001,2026-06-04,117193,6186,4551,1.36,110,1.78,1065.39,4.55,0,5,1,231,1.62
admet-0023,cli-0001,2026-06-05,93133,39480,31729,1.24,580,1.47,160.57,2.24,10,13,3,971,4.45
admet-0024,cli-0001,2026-06-06,44875,14423,12194,1.18,342,2.37,131.21,2.92,5,10,0,472,3.38
admet-0025,cli-0001,2026-06-07,137579,45782,29163,1.57,481,1.05,286.03,4.16,0,20,5,880,3.82
admet-0026,cli-0001,2026-06-08,52032,37330,29598,1.26,855,2.29,60.86,2.69,13,23,3,1572,3.35
admet-0027,cli-0001,2026-06-09,79199,33448,30862,1.08,395,1.18,200.5,2.03,5,8,5,862,3.91
admet-0028,cli-0001,2026-06-10,30646,42711,37001,1.15,759,1.78,40.38,2.37,3,18,5,1232,3.49
admet-0029,cli-0001,2026-06-11,23589,37025,25175,1.47,690,1.86,34.19,2.03,15,14,2,998,4.04
admet-0030,cli-0001,2026-06-12,115931,3491,3160,1.1,39,1.12,2972.59,2.56,9,1,4,102,0.17
admet-0031,cli-0001,2026-06-13,130940,44829,29530,1.52,1302,2.9,100.57,2.53,11,33,4,2101,3.84
admet-0032,cli-0001,2026-06-14,21446,20429,15424,1.32,608,2.98,35.27,2.8,15,17,0,789,4.5
