viral_metrics_id,content_id,viral_at,viral_score,viral_grade,viral_performance_score,viral_momentum_score
virmet-0001,con-0001,2026-05-25 09:39:00,29.0,D,29,29
virmet-0002,con-0001,2026-05-26 09:39:00,31.2,D,12,47
virmet-0003,con-0001,2026-05-27 09:39:00,91.9,A,82,100
virmet-0004,con-0001,2026-05-28 09:39:00,62.8,C,82,47
virmet-0005,con-0001,2026-05-29 09:39:00,27.8,D,41,17
virmet-0006,con-0001,2026-05-30 09:39:00,34.0,D,18,47
virmet-0007,con-0001,2026-05-31 09:39:00,66.9,C,41,88
virmet-0008,con-0002,2026-05-25 12:19:00,52.4,C,53,52
virmet-0009,con-0002,2026-05-26 12:19:00,46.4,C,53,41
virmet-0010,con-0002,2026-05-27 12:19:00,90.1,A,100,82
virmet-0011,con-0002,2026-05-28 12:19:00,46.8,C,76,23
virmet-0012,con-0002,2026-05-29 12:19:00,36.5,D,53,23
virmet-0013,con-0002,2026-05-30 12:19:00,69.4,C,76,64
virmet-0014,con-0002,2026-05-31 12:19:00,5.4,D,6,5
virmet-0015,con-0008,2026-05-27 14:48:00,41.0,C,41,41
virmet-0016,con-0008,2026-05-28 14:48:00,23.5,D,24,23
virmet-0017,con-0008,2026-05-29 14:48:00,65.6,C,53,76
virmet-0018,con-0008,2026-05-30 14:48:00,83.5,B,100,70
virmet-0019,con-0008,2026-05-31 14:48:00,32.6,D,59,11
virmet-0020,con-0008,2026-06-01 14:48:00,75.4,B,82,70
virmet-0021,con-0008,2026-06-02 14:48:00,61.6,C,94,35
virmet-0022,con-0009,2026-05-28 01:15:00,23.5,D,24,23
virmet-0023,con-0009,2026-05-29 01:15:00,97.3,A,94,100
virmet-0024,con-0009,2026-05-30 01:15:00,45.8,C,59,35
virmet-0025,con-0009,2026-05-31 01:15:00,21.4,D,12,29
virmet-0026,con-0009,2026-06-01 01:15:00,43.9,C,12,70
virmet-0027,con-0009,2026-06-02 01:15:00,66.2,C,47,82
virmet-0028,con-0009,2026-06-03 01:15:00,59.6,C,47,70
virmet-0029,con-0011,2026-05-28 04:11:00,5.4,D,6,5
virmet-0030,con-0011,2026-05-29 04:11:00,60.8,C,35,82
virmet-0031,con-0011,2026-05-30 04:11:00,28.6,D,6,47
virmet-0032,con-0011,2026-05-31 04:11:00,84.2,B,65,100
virmet-0033,con-0011,2026-06-01 04:11:00,60.6,C,71,52
virmet-0034,con-0011,2026-06-02 04:11:00,54.5,C,71,41
virmet-0035,con-0011,2026-06-03 04:11:00,68.2,C,88,52
virmet-0036,con-0012,2026-05-28 08:16:00,11.5,D,12,11
virmet-0037,con-0012,2026-05-29 08:16:00,88.6,B,82,94
virmet-0038,con-0012,2026-05-30 08:16:00,74.8,B,88,64
virmet-0039,con-0012,2026-05-31 08:16:00,30.5,D,47,17
virmet-0040,con-0012,2026-06-01 08:16:00,25.2,D,6,41
virmet-0041,con-0012,2026-06-02 08:16:00,70.2,B,41,94
