influencer_fit_score_id,influencer_id,campaign_id,influencer_metric_id,fit_score,category_match_score,audience_match_score,engagement_match_score
inffit-0001,inf-0035,cam-0001,infmet-0210,87.26,100,80.74,80.0
inffit-0002,inf-0054,cam-0001,infmet-0324,85.58,100,75.93,80.0
inffit-0003,inf-0200,cam-0001,infmet-1200,81.85,100,65.3,80.0
inffit-0004,inf-0191,cam-0001,infmet-1146,76.85,100,73.87,53.33
inffit-0005,inf-0033,cam-0001,infmet-0198,70.55,100,84.42,20.0
inffit-0006,inf-0145,cam-0001,infmet-0870,70.07,100,59.07,48.0
inffit-0007,inf-0118,cam-0001,infmet-0708,69.38,100,63.94,40.0
inffit-0008,inf-0156,cam-0001,infmet-0936,68.6,100,44.58,60.0
inffit-0009,inf-0178,cam-0001,infmet-1068,68.6,100,73.13,26.67
inffit-0010,inf-0024,cam-0001,infmet-0144,67.68,35,94.69,74.29
inffit-0011,inf-0132,cam-0001,infmet-0792,67.16,100,64.47,32.0
inffit-0012,inf-0022,cam-0001,infmet-0132,66.65,100,42.42,56.0
inffit-0013,inf-0105,cam-0001,infmet-0630,66.42,100,28.05,72.0
inffit-0014,inf-0077,cam-0001,infmet-0462,65.12,100,72.34,16.0
inffit-0015,inf-0107,cam-0001,infmet-0642,64.7,35,81.28,80.0
inffit-0016,inf-0196,cam-0001,infmet-1176,64.69,100,29.97,64.0
inffit-0017,inf-0165,cam-0001,infmet-0990,62.9,25,86.14,80.0
inffit-0018,inf-0199,cam-0001,infmet-1194,62.63,100,44.67,40.0
inffit-0019,inf-0146,cam-0001,infmet-0876,62.11,100,70.59,8.0
inffit-0020,inf-0082,cam-0001,infmet-0492,60.32,100,51.77,24.0
inffit-0021,inf-0129,cam-0001,infmet-0774,60.28,20,88.92,73.85
inffit-0022,inf-0112,cam-0001,infmet-0672,59.86,45,71.17,64.0
inffit-0023,inf-0061,cam-0001,infmet-0366,59.63,45,82.52,50.0
inffit-0024,inf-0169,cam-0001,infmet-1014,59.46,30,76.6,73.85
inffit-0025,inf-0186,cam-0001,infmet-1116,59.46,30,71.32,80.0
inffit-0026,inf-0074,cam-0001,infmet-0444,58.85,25,74.58,80.0
inffit-0027,inf-0036,cam-0001,infmet-0216,58.34,25,73.11,80.0
inffit-0028,inf-0190,cam-0001,infmet-1140,58.26,45,52.88,80.0
inffit-0029,inf-0137,cam-0001,infmet-0822,58.21,35,68.47,73.33
inffit-0030,inf-0153,cam-0001,infmet-0918,58.06,35,72.1,68.57
inffit-0031,inf-0181,cam-0001,infmet-1086,58.03,30,80.93,64.0
inffit-0032,inf-0069,cam-0001,infmet-0414,58.03,45,52.22,80.0
inffit-0033,inf-0058,cam-0001,infmet-0348,57.79,35,61.54,80.0
inffit-0034,inf-0142,cam-0001,infmet-0852,57.58,30,65.93,80.0
inffit-0035,inf-0194,cam-0001,infmet-1164,57.49,35,60.68,80.0
inffit-0036,inf-0109,cam-0001,infmet-0654,56.5,45,82.14,40.0
inffit-0037,inf-0100,cam-0001,infmet-0600,56.45,45,47.7,80.0
inffit-0038,inf-0085,cam-0001,infmet-0510,56.07,35,95.8,34.29
inffit-0039,inf-0031,cam-0001,infmet-0186,55.51,20,70.02,80.0
inffit-0040,inf-0002,cam-0001,infmet-0012,55.45,35,83.43,46.67
inffit-0041,inf-0005,cam-0001,infmet-0030,55.31,25,70.18,73.33
inffit-0042,inf-0117,cam-0001,infmet-0702,54.96,20,68.45,80.0
inffit-0043,inf-0092,cam-0001,infmet-0552,54.74,25,62.84,80.0
inffit-0044,inf-0121,cam-0001,infmet-0726,54.68,45,51.22,70.0
inffit-0045,inf-0051,cam-0001,infmet-0306,54.33,35,51.66,80.0
inffit-0046,inf-0110,cam-0001,infmet-0660,54.3,20,87.66,55.38
inffit-0047,inf-0028,cam-0001,infmet-0168,54.2,25,72.71,66.67
inffit-0048,inf-0094,cam-0001,infmet-0564,54.19,20,82.07,61.54
