profile_funnel_id,client_id,profile_metric_id,funnel_at,step_no,step_name,funnel_count,opposite
profun-0001,cli-0001,promet-0001,2026-05-14 00:00:00,1,1. 노출,4870,-4870
profun-0002,cli-0001,promet-0001,2026-05-14 00:00:00,2,2. 도달,3592,-3592
profun-0003,cli-0001,promet-0001,2026-05-14 00:00:00,3,3. 프로필 방문,43,-43
profun-0004,cli-0001,promet-0001,2026-05-14 00:00:00,4,4. 웹사이트 클릭,1,-1
profun-0005,cli-0001,promet-0002,2026-05-15 00:00:00,1,1. 노출,4929,-4929
profun-0006,cli-0001,promet-0002,2026-05-15 00:00:00,2,2. 도달,3671,-3671
profun-0007,cli-0001,promet-0002,2026-05-15 00:00:00,3,3. 프로필 방문,93,-93
profun-0008,cli-0001,promet-0002,2026-05-15 00:00:00,4,4. 웹사이트 클릭,3,-3
profun-0009,cli-0001,promet-0003,2026-05-16 00:00:00,1,1. 노출,4052,-4052
profun-0010,cli-0001,promet-0003,2026-05-16 00:00:00,2,2. 도달,2933,-2933
profun-0011,cli-0001,promet-0003,2026-05-16 00:00:00,3,3. 프로필 방문,37,-37
profun-0012,cli-0001,promet-0003,2026-05-16 00:00:00,4,4. 웹사이트 클릭,2,-2
profun-0013,cli-0001,promet-0004,2026-05-17 00:00:00,1,1. 노출,6534,-6534
profun-0014,cli-0001,promet-0004,2026-05-17 00:00:00,2,2. 도달,5343,-5343
profun-0015,cli-0001,promet-0004,2026-05-17 00:00:00,3,3. 프로필 방문,118,-118
profun-0016,cli-0001,promet-0004,2026-05-17 00:00:00,4,4. 웹사이트 클릭,9,-9
profun-0017,cli-0001,promet-0005,2026-05-18 00:00:00,1,1. 노출,3167,-3167
profun-0018,cli-0001,promet-0005,2026-05-18 00:00:00,2,2. 도달,1767,-1767
profun-0019,cli-0001,promet-0005,2026-05-18 00:00:00,3,3. 프로필 방문,16,-16
profun-0020,cli-0001,promet-0005,2026-05-18 00:00:00,4,4. 웹사이트 클릭,1,-1
profun-0021,cli-0001,promet-0006,2026-05-19 00:00:00,1,1. 노출,8262,-8262
profun-0022,cli-0001,promet-0006,2026-05-19 00:00:00,2,2. 도달,6810,-6810
profun-0023,cli-0001,promet-0006,2026-05-19 00:00:00,3,3. 프로필 방문,227,-227
profun-0024,cli-0001,promet-0006,2026-05-19 00:00:00,4,4. 웹사이트 클릭,22,-22
profun-0025,cli-0001,promet-0007,2026-05-20 00:00:00,1,1. 노출,4452,-4452
profun-0026,cli-0001,promet-0007,2026-05-20 00:00:00,2,2. 도달,3112,-3112
profun-0027,cli-0001,promet-0007,2026-05-20 00:00:00,3,3. 프로필 방문,45,-45
profun-0028,cli-0001,promet-0007,2026-05-20 00:00:00,4,4. 웹사이트 클릭,5,-5
profun-0029,cli-0001,promet-0008,2026-05-21 00:00:00,1,1. 노출,10897,-10897
profun-0030,cli-0001,promet-0008,2026-05-21 00:00:00,2,2. 도달,6849,-6849
profun-0031,cli-0001,promet-0008,2026-05-21 00:00:00,3,3. 프로필 방문,88,-88
profun-0032,cli-0001,promet-0008,2026-05-21 00:00:00,4,4. 웹사이트 클릭,10,-10
profun-0033,cli-0001,promet-0009,2026-05-22 00:00:00,1,1. 노출,6014,-6014
profun-0034,cli-0001,promet-0009,2026-05-22 00:00:00,2,2. 도달,4343,-4343
profun-0035,cli-0001,promet-0009,2026-05-22 00:00:00,3,3. 프로필 방문,148,-148
