profile_metric_id,client_id,profile_metric_at,profile_followers_count,profile_new_followers_count,profile_unfollowers_count,profile_reach_count,profile_impressions_count,profile_visit_count,profile_website_click_count,profile_website_click_rate
promet-0001,cli-0001,2026-05-14 00:00:00,574,7,4,3592,4870,43,1,2.33
promet-0002,cli-0001,2026-05-15 00:00:00,577,7,4,3671,4929,93,3,3.2300000000000004
promet-0003,cli-0001,2026-05-16 00:00:00,581,7,3,2933,4052,37,2,5.41
promet-0004,cli-0001,2026-05-17 00:00:00,582,5,4,5343,6534,118,9,7.630000000000001
promet-0005,cli-0001,2026-05-18 00:00:00,581,2,3,1767,3167,16,1,6.25
promet-0006,cli-0001,2026-05-19 00:00:00,585,4,0,6810,8262,227,22,9.69
promet-0007,cli-0001,2026-05-20 00:00:00,594,9,0,3112,4452,45,5,11.110000000000001
promet-0008,cli-0001,2026-05-21 00:00:00,599,7,2,6849,10897,88,10,11.360000000000001
promet-0009,cli-0001,2026-05-22 00:00:00,603,5,1,4343,6014,148,18,12.16
promet-0010,cli-0001,2026-05-23 00:00:00,603,1,1,2481,5276,68,4,5.88
promet-0011,cli-0001,2026-05-24 00:00:00,615,18,6,13467,16769,226,17,7.5200000000000005
promet-0012,cli-0001,2026-05-25 00:00:00,633,22,4,8887,13834,138,13,9.42
promet-0013,cli-0001,2026-05-26 00:00:00,646,13,0,12006,19490,224,14,6.25
promet-0014,cli-0001,2026-05-27 00:00:00,659,15,2,10736,20520,314,32,10.190000000000001
promet-0015,cli-0001,2026-05-28 00:00:00,667,14,6,10184,21538,315,26,8.25
promet-0016,cli-0001,2026-05-29 00:00:00,666,5,6,6454,12061,167,16,9.58
promet-0017,cli-0001,2026-05-30 00:00:00,690,26,2,9056,14334,310,40,12.9
promet-0018,cli-0001,2026-05-31 00:00:00,693,4,1,1002,1974,21,1,4.760000000000001
promet-0019,cli-0001,2026-06-01 00:00:00,701,9,1,1984,2781,63,5,7.9399999999999995
promet-0020,cli-0001,2026-06-02 00:00:00,700,3,4,6874,11069,195,11,5.64
promet-0021,cli-0001,2026-06-03 00:00:00,704,6,2,3814,5191,126,15,11.899999999999999
promet-0022,cli-0001,2026-06-04 00:00:00,708,8,4,3193,5289,44,3,6.819999999999999
promet-0023,cli-0001,2026-06-05 00:00:00,714,9,3,6092,9247,66,3,4.55
promet-0024,cli-0001,2026-06-06 00:00:00,740,34,8,14867,23082,241,11,4.5600000000000005
promet-0025,cli-0001,2026-06-07 00:00:00,763,31,8,8413,11964,94,6,6.38
promet-0026,cli-0001,2026-06-08 00:00:00,777,19,5,15935,27388,429,31,7.23
promet-0027,cli-0001,2026-06-09 00:00:00,789,21,9,5291,7681,113,7,6.1899999999999995
promet-0028,cli-0001,2026-06-10 00:00:00,803,21,7,15344,22506,527,41,7.779999999999999
promet-0029,cli-0001,2026-06-11 00:00:00,826,27,4,9855,20776,142,6,4.2299999999999995
promet-0030,cli-0001,2026-06-12 00:00:00,833,16,9,9791,17162,235,9,3.83
promet-0031,cli-0001,2026-06-13 00:00:00,838,7,2,4996,9633,89,9,10.11
promet-0032,cli-0001,2026-06-14 00:00:00,841,5,2,4082,5266,124,8,6.45
