profile_follower_id,client_id,profile_metric_id,profile_metric_at,profile_gender,profile_age_group,profile_follower_count,profile_follower_ratio
profol-0001,cli-0001,promet-0001,2026-05-14 00:00:00,male,10대,24,4.18
profol-0002,cli-0001,promet-0001,2026-05-14 00:00:00,male,20대,127,22.13
profol-0003,cli-0001,promet-0001,2026-05-14 00:00:00,male,30대,55,9.58
profol-0004,cli-0001,promet-0001,2026-05-14 00:00:00,male,40대,34,5.92
profol-0005,cli-0001,promet-0001,2026-05-14 00:00:00,male,50대,5,0.8699999999999999
profol-0006,cli-0001,promet-0001,2026-05-14 00:00:00,male,60대+,8,1.39
profol-0007,cli-0001,promet-0001,2026-05-14 00:00:00,female,10대,1,0.16999999999999998
profol-0008,cli-0001,promet-0001,2026-05-14 00:00:00,female,20대,86,14.979999999999999
profol-0009,cli-0001,promet-0001,2026-05-14 00:00:00,female,30대,38,6.619999999999999
profol-0010,cli-0001,promet-0001,2026-05-14 00:00:00,female,40대,48,8.36
profol-0011,cli-0001,promet-0001,2026-05-14 00:00:00,female,50대,1,0.16999999999999998
profol-0012,cli-0001,promet-0001,2026-05-14 00:00:00,female,60대+,147,25.61
profol-0013,cli-0001,promet-0002,2026-05-15 00:00:00,male,10대,14,2.4299999999999997
profol-0014,cli-0001,promet-0002,2026-05-15 00:00:00,male,20대,2,0.35000000000000003
profol-0015,cli-0001,promet-0002,2026-05-15 00:00:00,male,30대,139,24.09
profol-0016,cli-0001,promet-0002,2026-05-15 00:00:00,male,40대,182,31.540000000000003
profol-0017,cli-0001,promet-0002,2026-05-15 00:00:00,male,50대,76,13.170000000000002
profol-0018,cli-0001,promet-0002,2026-05-15 00:00:00,male,60대+,23,3.9899999999999998
profol-0019,cli-0001,promet-0002,2026-05-15 00:00:00,female,10대,9,1.5599999999999998
profol-0020,cli-0001,promet-0002,2026-05-15 00:00:00,female,20대,48,8.32
profol-0021,cli-0001,promet-0002,2026-05-15 00:00:00,female,30대,49,8.49
profol-0022,cli-0001,promet-0002,2026-05-15 00:00:00,female,40대,4,0.69
profol-0023,cli-0001,promet-0002,2026-05-15 00:00:00,female,50대,31,5.37
profol-0024,cli-0001,promet-0002,2026-05-15 00:00:00,female,60대+,0,0.0
profol-0025,cli-0001,promet-0003,2026-05-16 00:00:00,male,10대,15,2.58
profol-0026,cli-0001,promet-0003,2026-05-16 00:00:00,male,20대,12,2.07
profol-0027,cli-0001,promet-0003,2026-05-16 00:00:00,male,30대,19,3.27
profol-0028,cli-0001,promet-0003,2026-05-16 00:00:00,male,40대,92,15.83
profol-0029,cli-0001,promet-0003,2026-05-16 00:00:00,male,50대,19,3.27
profol-0030,cli-0001,promet-0003,2026-05-16 00:00:00,male,60대+,11,1.8900000000000001
profol-0031,cli-0001,promet-0003,2026-05-16 00:00:00,female,10대,28,4.82
profol-0032,cli-0001,promet-0003,2026-05-16 00:00:00,female,20대,6,1.03
profol-0033,cli-0001,promet-0003,2026-05-16 00:00:00,female,30대,78,13.43
profol-0034,cli-0001,promet-0003,2026-05-16 00:00:00,female,40대,3,0.52
profol-0035,cli-0001,promet-0003,2026-05-16 00:00:00,female,50대,239,41.14
profol-0036,cli-0001,promet-0003,2026-05-16 00:00:00,female,60대+,59,10.15
profol-0037,cli-0001,promet-0004,2026-05-17 00:00:00,male,10대,7,1.2
profol-0038,cli-0001,promet-0004,2026-05-17 00:00:00,male,20대,89,15.290000000000001
profol-0039,cli-0001,promet-0004,2026-05-17 00:00:00,male,30대,102,17.53
profol-0040,cli-0001,promet-0004,2026-05-17 00:00:00,male,40대,64,11.0
profol-0041,cli-0001,promet-0004,2026-05-17 00:00:00,male,50대,100,17.18
profol-0042,cli-0001,promet-0004,2026-05-17 00:00:00,male,60대+,42,7.22
profol-0043,cli-0001,promet-0004,2026-05-17 00:00:00,female,10대,42,7.22
profol-0044,cli-0001,promet-0004,2026-05-17 00:00:00,female,20대,39,6.7
profol-0045,cli-0001,promet-0004,2026-05-17 00:00:00,female,30대,2,0.33999999999999997
profol-0046,cli-0001,promet-0004,2026-05-17 00:00:00,female,40대,12,2.06
profol-0047,cli-0001,promet-0004,2026-05-17 00:00:00,female,50대,5,0.86
profol-0048,cli-0001,promet-0004,2026-05-17 00:00:00,female,60대+,78,13.4
profol-0049,cli-0001,promet-0005,2026-05-18 00:00:00,male,10대,28,4.82
profol-0050,cli-0001,promet-0005,2026-05-18 00:00:00,male,20대,8,1.38
profol-0051,cli-0001,promet-0005,2026-05-18 00:00:00,male,30대,14,2.41
profol-0052,cli-0001,promet-0005,2026-05-18 00:00:00,male,40대,45,7.75
profol-0053,cli-0001,promet-0005,2026-05-18 00:00:00,male,50대,118,20.31
profol-0054,cli-0001,promet-0005,2026-05-18 00:00:00,male,60대+,175,30.12
profol-0055,cli-0001,promet-0005,2026-05-18 00:00:00,female,10대,3,0.52
profol-0056,cli-0001,promet-0005,2026-05-18 00:00:00,female,20대,64,11.020000000000001
profol-0057,cli-0001,promet-0005,2026-05-18 00:00:00,female,30대,56,9.64
profol-0058,cli-0001,promet-0005,2026-05-18 00:00:00,female,40대,25,4.3
profol-0059,cli-0001,promet-0005,2026-05-18 00:00:00,female,50대,10,1.72
profol-0060,cli-0001,promet-0005,2026-05-18 00:00:00,female,60대+,35,6.02
profol-0061,cli-0001,promet-0006,2026-05-19 00:00:00,male,10대,69,11.790000000000001
profol-0062,cli-0001,promet-0006,2026-05-19 00:00:00,male,20대,68,11.62
profol-0063,cli-0001,promet-0006,2026-05-19 00:00:00,male,30대,55,9.4
profol-0064,cli-0001,promet-0006,2026-05-19 00:00:00,male,40대,4,0.6799999999999999
profol-0065,cli-0001,promet-0006,2026-05-19 00:00:00,male,50대,143,24.44
profol-0066,cli-0001,promet-0006,2026-05-19 00:00:00,male,60대+,35,5.9799999999999995
profol-0067,cli-0001,promet-0006,2026-05-19 00:00:00,female,10대,19,3.25
profol-0068,cli-0001,promet-0006,2026-05-19 00:00:00,female,20대,2,0.33999999999999997
profol-0069,cli-0001,promet-0006,2026-05-19 00:00:00,female,30대,66,11.28
profol-0070,cli-0001,promet-0006,2026-05-19 00:00:00,female,40대,75,12.82
profol-0071,cli-0001,promet-0006,2026-05-19 00:00:00,female,50대,2,0.33999999999999997
profol-0072,cli-0001,promet-0006,2026-05-19 00:00:00,female,60대+,47,8.03
profol-0073,cli-0001,promet-0007,2026-05-20 00:00:00,male,10대,140,23.57
profol-0074,cli-0001,promet-0007,2026-05-20 00:00:00,male,20대,86,14.48
profol-0075,cli-0001,promet-0007,2026-05-20 00:00:00,male,30대,66,11.110000000000001
profol-0076,cli-0001,promet-0007,2026-05-20 00:00:00,male,40대,4,0.67
profol-0077,cli-0001,promet-0007,2026-05-20 00:00:00,male,50대,13,2.19
profol-0078,cli-0001,promet-0007,2026-05-20 00:00:00,male,60대+,132,22.220000000000002
profol-0079,cli-0001,promet-0007,2026-05-20 00:00:00,female,10대,59,9.93
profol-0080,cli-0001,promet-0007,2026-05-20 00:00:00,female,20대,0,0.0
profol-0081,cli-0001,promet-0007,2026-05-20 00:00:00,female,30대,5,0.84
profol-0082,cli-0001,promet-0007,2026-05-20 00:00:00,female,40대,70,11.78
profol-0083,cli-0001,promet-0007,2026-05-20 00:00:00,female,50대,0,0.0
profol-0084,cli-0001,promet-0007,2026-05-20 00:00:00,female,60대+,19,3.2
profol-0085,cli-0001,promet-0008,2026-05-21 00:00:00,male,10대,107,17.86
profol-0086,cli-0001,promet-0008,2026-05-21 00:00:00,male,20대,51,8.51
profol-0087,cli-0001,promet-0008,2026-05-21 00:00:00,male,30대,98,16.36
profol-0088,cli-0001,promet-0008,2026-05-21 00:00:00,male,40대,55,9.180000000000001
profol-0089,cli-0001,promet-0008,2026-05-21 00:00:00,male,50대,56,9.35
profol-0090,cli-0001,promet-0008,2026-05-21 00:00:00,male,60대+,28,4.67
profol-0091,cli-0001,promet-0008,2026-05-21 00:00:00,female,10대,11,1.8399999999999999
profol-0092,cli-0001,promet-0008,2026-05-21 00:00:00,female,20대,81,13.52
profol-0093,cli-0001,promet-0008,2026-05-21 00:00:00,female,30대,34,5.680000000000001
profol-0094,cli-0001,promet-0008,2026-05-21 00:00:00,female,40대,0,0.0
profol-0095,cli-0001,promet-0008,2026-05-21 00:00:00,female,50대,66,11.020000000000001
profol-0096,cli-0001,promet-0008,2026-05-21 00:00:00,female,60대+,12,2.0
profol-0097,cli-0001,promet-0009,2026-05-22 00:00:00,male,10대,60,9.950000000000001
profol-0098,cli-0001,promet-0009,2026-05-22 00:00:00,male,20대,61,10.12
profol-0099,cli-0001,promet-0009,2026-05-22 00:00:00,male,30대,43,7.13
profol-0100,cli-0001,promet-0009,2026-05-22 00:00:00,male,40대,48,7.960000000000001
profol-0101,cli-0001,promet-0009,2026-05-22 00:00:00,male,50대,10,1.66
profol-0102,cli-0001,promet-0009,2026-05-22 00:00:00,male,60대+,8,1.3299999999999998
profol-0103,cli-0001,promet-0009,2026-05-22 00:00:00,female,10대,77,12.770000000000001
profol-0104,cli-0001,promet-0009,2026-05-22 00:00:00,female,20대,62,10.280000000000001
profol-0105,cli-0001,promet-0009,2026-05-22 00:00:00,female,30대,85,14.099999999999998
profol-0106,cli-0001,promet-0009,2026-05-22 00:00:00,female,40대,96,15.920000000000002
profol-0107,cli-0001,promet-0009,2026-05-22 00:00:00,female,50대,33,5.47
profol-0108,cli-0001,promet-0009,2026-05-22 00:00:00,female,60대+,20,3.32
profol-0109,cli-0001,promet-0010,2026-05-23 00:00:00,male,10대,50,8.290000000000001
profol-0110,cli-0001,promet-0010,2026-05-23 00:00:00,male,20대,44,7.3
profol-0111,cli-0001,promet-0010,2026-05-23 00:00:00,male,30대,56,9.29
profol-0112,cli-0001,promet-0010,2026-05-23 00:00:00,male,40대,67,11.110000000000001
profol-0113,cli-0001,promet-0010,2026-05-23 00:00:00,male,50대,204,33.83
profol-0114,cli-0001,promet-0010,2026-05-23 00:00:00,male,60대+,37,6.140000000000001
profol-0115,cli-0001,promet-0010,2026-05-23 00:00:00,female,10대,22,3.65
profol-0116,cli-0001,promet-0010,2026-05-23 00:00:00,female,20대,77,12.770000000000001
profol-0117,cli-0001,promet-0010,2026-05-23 00:00:00,female,30대,9,1.49
profol-0118,cli-0001,promet-0010,2026-05-23 00:00:00,female,40대,35,5.800000000000001
profol-0119,cli-0001,promet-0010,2026-05-23 00:00:00,female,50대,1,0.16999999999999998
profol-0120,cli-0001,promet-0010,2026-05-23 00:00:00,female,60대+,1,0.16999999999999998
profol-0121,cli-0001,promet-0011,2026-05-24 00:00:00,male,10대,97,15.770000000000001
profol-0122,cli-0001,promet-0011,2026-05-24 00:00:00,male,20대,44,7.1499999999999995
profol-0123,cli-0001,promet-0011,2026-05-24 00:00:00,male,30대,6,0.98
profol-0124,cli-0001,promet-0011,2026-05-24 00:00:00,male,40대,56,9.11
profol-0125,cli-0001,promet-0011,2026-05-24 00:00:00,male,50대,54,8.780000000000001
profol-0126,cli-0001,promet-0011,2026-05-24 00:00:00,male,60대+,25,4.07
profol-0127,cli-0001,promet-0011,2026-05-24 00:00:00,female,10대,49,7.969999999999999
profol-0128,cli-0001,promet-0011,2026-05-24 00:00:00,female,20대,47,7.64
profol-0129,cli-0001,promet-0011,2026-05-24 00:00:00,female,30대,71,11.540000000000001
profol-0130,cli-0001,promet-0011,2026-05-24 00:00:00,female,40대,110,17.89
profol-0131,cli-0001,promet-0011,2026-05-24 00:00:00,female,50대,1,0.16
profol-0132,cli-0001,promet-0011,2026-05-24 00:00:00,female,60대+,55,8.94
profol-0133,cli-0001,promet-0012,2026-05-25 00:00:00,male,10대,8,1.26
profol-0134,cli-0001,promet-0012,2026-05-25 00:00:00,male,20대,81,12.8
profol-0135,cli-0001,promet-0012,2026-05-25 00:00:00,male,30대,3,0.47000000000000003
profol-0136,cli-0001,promet-0012,2026-05-25 00:00:00,male,40대,27,4.2700000000000005
profol-0137,cli-0001,promet-0012,2026-05-25 00:00:00,male,50대,121,19.12
profol-0138,cli-0001,promet-0012,2026-05-25 00:00:00,male,60대+,2,0.32
profol-0139,cli-0001,promet-0012,2026-05-25 00:00:00,female,10대,97,15.32
profol-0140,cli-0001,promet-0012,2026-05-25 00:00:00,female,20대,25,3.95
profol-0141,cli-0001,promet-0012,2026-05-25 00:00:00,female,30대,7,1.11
profol-0142,cli-0001,promet-0012,2026-05-25 00:00:00,female,40대,64,10.11
profol-0143,cli-0001,promet-0012,2026-05-25 00:00:00,female,50대,60,9.48
