wc_date,wc_caption,wc_mention
2026-05-15 09:00:00,ROAR,5
2026-05-15 09:00:00,가성비,8
2026-05-15 09:00:00,두피,0
2026-05-15 09:00:00,디자인,1
2026-05-15 09:00:00,라이언스윔,7
2026-05-15 09:00:00,만족도,11
2026-05-15 09:00:00,모발,0
2026-05-15 09:00:00,밀착감,1
2026-05-15 09:00:00,보습,0
2026-05-15 09:00:00,사이즈,1
2026-05-15 09:00:00,샴푸,0
2026-05-15 09:00:00,세정력,1
2026-05-15 09:00:00,수경,1
2026-05-15 09:00:00,수영,10
2026-05-15 09:00:00,수영모,0
2026-05-15 09:00:00,수영복,1
2026-05-15 09:00:00,스포츠,14
2026-05-15 09:00:00,신축성,1
2026-05-15 09:00:00,염소,0
2026-05-15 09:00:00,원단,1
2026-05-15 09:00:00,전문,11
2026-05-15 09:00:00,착용감,1
2026-05-15 09:00:00,추천,12
2026-05-15 09:00:00,품질,10
2026-05-15 09:00:00,향기,1
2026-05-16 09:00:00,ROAR,6
2026-05-16 09:00:00,가성비,8
2026-05-16 09:00:00,두피,1
2026-05-16 09:00:00,디자인,1
2026-05-16 09:00:00,라이언스윔,7
2026-05-16 09:00:00,만족도,8
2026-05-16 09:00:00,모발,0
2026-05-16 09:00:00,밀착감,0
2026-05-16 09:00:00,보습,1
2026-05-16 09:00:00,사이즈,1
2026-05-16 09:00:00,샴푸,0
2026-05-16 09:00:00,세정력,0
2026-05-16 09:00:00,수경,0
2026-05-16 09:00:00,수영,9
2026-05-16 09:00:00,수영모,1
2026-05-16 09:00:00,수영복,0
2026-05-16 09:00:00,스포츠,14
2026-05-16 09:00:00,신축성,0
2026-05-16 09:00:00,염소,1
2026-05-16 09:00:00,원단,1
2026-05-16 09:00:00,전문,9
2026-05-16 09:00:00,착용감,0
2026-05-16 09:00:00,추천,11
2026-05-16 09:00:00,품질,8
2026-05-16 09:00:00,향기,1
2026-05-17 09:00:00,ROAR,6
2026-05-17 09:00:00,가성비,13
2026-05-17 09:00:00,두피,0
2026-05-17 09:00:00,디자인,1
2026-05-17 09:00:00,라이언스윔,13
2026-05-17 09:00:00,만족도,6
2026-05-17 09:00:00,모발,1
2026-05-17 09:00:00,밀착감,1
2026-05-17 09:00:00,보습,0
2026-05-17 09:00:00,사이즈,0
2026-05-17 09:00:00,샴푸,0
2026-05-17 09:00:00,세정력,0
2026-05-17 09:00:00,수경,0
2026-05-17 09:00:00,수영,9
2026-05-17 09:00:00,수영모,0
2026-05-17 09:00:00,수영복,1
2026-05-17 09:00:00,스포츠,6
2026-05-17 09:00:00,신축성,0
2026-05-17 09:00:00,염소,1
2026-05-17 09:00:00,원단,1
2026-05-17 09:00:00,전문,5
2026-05-17 09:00:00,착용감,0
2026-05-17 09:00:00,추천,11
2026-05-17 09:00:00,품질,11
2026-05-17 09:00:00,향기,1
2026-05-18 09:00:00,ROAR,10
2026-05-18 09:00:00,가성비,12
2026-05-18 09:00:00,두피,0
2026-05-18 09:00:00,디자인,0
2026-05-18 09:00:00,라이언스윔,9
2026-05-18 09:00:00,만족도,6
2026-05-18 09:00:00,모발,1
2026-05-18 09:00:00,밀착감,0
2026-05-18 09:00:00,보습,1
2026-05-18 09:00:00,사이즈,0
2026-05-18 09:00:00,샴푸,1
2026-05-18 09:00:00,세정력,1
2026-05-18 09:00:00,수경,1
2026-05-18 09:00:00,수영,7
2026-05-18 09:00:00,수영모,0
2026-05-18 09:00:00,수영복,0
2026-05-18 09:00:00,스포츠,11
2026-05-18 09:00:00,신축성,0
2026-05-18 09:00:00,염소,0
2026-05-18 09:00:00,원단,0
2026-05-18 09:00:00,전문,6
2026-05-18 09:00:00,착용감,1
2026-05-18 09:00:00,추천,7
2026-05-18 09:00:00,품질,11
2026-05-18 09:00:00,향기,1
2026-05-19 09:00:00,ROAR,13
2026-05-19 09:00:00,가성비,5
2026-05-19 09:00:00,두피,1
2026-05-19 09:00:00,디자인,1
2026-05-19 09:00:00,라이언스윔,15
2026-05-19 09:00:00,만족도,5
2026-05-19 09:00:00,모발,0
2026-05-19 09:00:00,밀착감,1
2026-05-19 09:00:00,보습,0
2026-05-19 09:00:00,사이즈,1
2026-05-19 09:00:00,샴푸,0
2026-05-19 09:00:00,세정력,1
2026-05-19 09:00:00,수경,0
2026-05-19 09:00:00,수영,6
2026-05-19 09:00:00,수영모,0
2026-05-19 09:00:00,수영복,1
2026-05-19 09:00:00,스포츠,5
2026-05-19 09:00:00,신축성,1
2026-05-19 09:00:00,염소,1
2026-05-19 09:00:00,원단,0
2026-05-19 09:00:00,전문,5
2026-05-19 09:00:00,착용감,0
2026-05-19 09:00:00,추천,7
2026-05-19 09:00:00,품질,7
2026-05-19 09:00:00,향기,1
2026-05-20 09:00:00,ROAR,13
2026-05-20 09:00:00,가성비,13
2026-05-20 09:00:00,두피,0
2026-05-20 09:00:00,디자인,0
2026-05-20 09:00:00,라이언스윔,13
2026-05-20 09:00:00,만족도,6
2026-05-20 09:00:00,모발,0
2026-05-20 09:00:00,밀착감,0
2026-05-20 09:00:00,보습,0
2026-05-20 09:00:00,사이즈,1
2026-05-20 09:00:00,샴푸,1
2026-05-20 09:00:00,세정력,1
2026-05-20 09:00:00,수경,1
2026-05-20 09:00:00,수영,7
2026-05-20 09:00:00,수영모,0
2026-05-20 09:00:00,수영복,1
2026-05-20 09:00:00,스포츠,14
2026-05-20 09:00:00,신축성,0
2026-05-20 09:00:00,염소,1
2026-05-20 09:00:00,원단,1
2026-05-20 09:00:00,전문,11
2026-05-20 09:00:00,착용감,0
2026-05-20 09:00:00,추천,5
2026-05-20 09:00:00,품질,11
2026-05-20 09:00:00,향기,0
2026-05-21 09:00:00,ROAR,13
2026-05-21 09:00:00,가성비,5
2026-05-21 09:00:00,두피,0
2026-05-21 09:00:00,디자인,0
2026-05-21 09:00:00,라이언스윔,10
2026-05-21 09:00:00,만족도,8
2026-05-21 09:00:00,모발,1
2026-05-21 09:00:00,밀착감,0
2026-05-21 09:00:00,보습,1
2026-05-21 09:00:00,사이즈,0
2026-05-21 09:00:00,샴푸,1
2026-05-21 09:00:00,세정력,1
2026-05-21 09:00:00,수경,0
2026-05-21 09:00:00,수영,14
2026-05-21 09:00:00,수영모,1
2026-05-21 09:00:00,수영복,0
2026-05-21 09:00:00,스포츠,6
2026-05-21 09:00:00,신축성,1
2026-05-21 09:00:00,염소,0
2026-05-21 09:00:00,원단,1
