influencer_metric_id,influencer_id,influencer_metric_date,influencer_followers_count,influencer_post_count,influencer_avg_likes,influencer_avg_comments,influencer_engagement_rate
infmet-0001,inf-0001,2025-12-31,52467,51,288.58,123.68,0.79
infmet-0002,inf-0001,2026-01-31,51535,56,319.74,137.03,0.89
infmet-0003,inf-0001,2026-02-28,54661,61,353.77,151.62,0.92
infmet-0004,inf-0001,2026-03-31,59122,63,419.69,179.87,1.01
infmet-0005,inf-0001,2026-04-30,60722,67,423.74,181.6,1.0
infmet-0006,inf-0001,2026-05-31,65010,71,302.49,241.75,0.84
infmet-0007,inf-0002,2025-12-31,70008,125,754.94,235.12,1.41
infmet-0008,inf-0002,2026-01-31,69679,132,868.49,255.11,1.61
infmet-0009,inf-0002,2026-02-28,74639,135,812.63,328.07,1.53
infmet-0010,inf-0002,2026-03-31,81066,141,900.19,290.59,1.47
infmet-0011,inf-0002,2026-04-30,88864,151,905.38,388.02,1.46
infmet-0012,inf-0002,2026-05-31,90294,159,805.09,331.81,1.26
infmet-0013,inf-0003,2025-12-31,56158,220,183.69,78.72,0.47
infmet-0014,inf-0003,2026-01-31,60349,225,214.39,91.88,0.51
infmet-0015,inf-0003,2026-02-28,65068,232,242.59,103.97,0.53
infmet-0016,inf-0003,2026-03-31,65758,236,260.25,111.54,0.57
infmet-0017,inf-0003,2026-04-30,69772,241,299.39,128.31,0.61
infmet-0018,inf-0003,2026-05-31,75232,250,239.19,228.8,0.62
infmet-0019,inf-0004,2025-12-31,41625,254,319.74,117.2,1.05
infmet-0020,inf-0004,2026-01-31,43402,256,352.72,151.17,1.16
infmet-0021,inf-0004,2026-02-28,45223,257,338.19,144.94,1.07
infmet-0022,inf-0004,2026-03-31,47598,261,308.78,132.33,0.93
infmet-0023,inf-0004,2026-04-30,50904,264,308.57,132.24,0.87
infmet-0024,inf-0004,2026-05-31,53117,270,405.2,178.78,1.1
infmet-0025,inf-0005,2025-12-31,51092,196,720.39,308.74,2.01
infmet-0026,inf-0005,2026-01-31,54357,199,739.07,316.75,1.94
infmet-0027,inf-0005,2026-02-28,53363,204,682.35,292.44,1.83
infmet-0028,inf-0005,2026-03-31,51920,208,689.85,295.65,1.9
infmet-0029,inf-0005,2026-04-30,51489,215,655.76,281.04,1.82
infmet-0030,inf-0005,2026-05-31,55393,221,619.5,528.73,2.07
infmet-0031,inf-0006,2025-12-31,52589,170,446.94,94.41,1.03
infmet-0032,inf-0006,2026-01-31,52873,171,474.84,82.37,1.05
infmet-0033,inf-0006,2026-02-28,54375,178,431.64,85.83,0.95
infmet-0034,inf-0006,2026-03-31,57811,181,510.44,98.59,1.05
infmet-0035,inf-0006,2026-04-30,61929,183,584.94,118.07,1.14
infmet-0036,inf-0006,2026-05-31,67874,188,652.79,118.92,1.14
infmet-0037,inf-0007,2025-12-31,92476,305,208.19,82.16,0.31
infmet-0038,inf-0007,2026-01-31,91439,310,241.43,53.48,0.32
infmet-0039,inf-0007,2026-02-28,92617,313,194.53,61.43,0.28
infmet-0040,inf-0007,2026-03-31,95786,322,228.69,72.44,0.31
infmet-0041,inf-0007,2026-04-30,93431,326,204.52,87.65,0.31
infmet-0042,inf-0007,2026-05-31,95678,330,243.26,77.63,0.34
infmet-0043,inf-0008,2025-12-31,30990,56,204.97,87.84,0.94
infmet-0044,inf-0008,2026-01-31,31829,56,185.8,79.63,0.83
infmet-0045,inf-0008,2026-02-28,33029,59,202.76,86.9,0.88
infmet-0046,inf-0008,2026-03-31,33462,62,191.94,82.26,0.82
infmet-0047,inf-0008,2026-04-30,33619,62,202.06,86.6,0.86
infmet-0048,inf-0008,2026-05-31,34680,64,165.25,155.17,0.92
infmet-0049,inf-0009,2025-12-31,61904,152,539.67,140.43,1.1
infmet-0050,inf-0009,2026-01-31,62599,153,462.12,131.73,0.95
infmet-0051,inf-0009,2026-02-28,67299,155,486.96,139.04,0.93
infmet-0052,inf-0009,2026-03-31,72540,157,633.69,140.73,1.07
infmet-0053,inf-0009,2026-04-30,73862,162,740.34,140.85,1.19
infmet-0054,inf-0009,2026-05-31,76974,163,836.49,183.23,1.32
infmet-0055,inf-0010,2025-12-31,1594,151,63.31,5.21,4.3
infmet-0056,inf-0010,2026-01-31,1601,161,55.98,6.22,3.88
infmet-0057,inf-0010,2026-02-28,1708,165,60.82,7.52,4.0
infmet-0058,inf-0010,2026-03-31,1678,169,68.27,6.41,4.45
infmet-0059,inf-0010,2026-04-30,1709,178,64.47,4.66,4.05
infmet-0060,inf-0010,2026-05-31,1805,184,85.84,8.05,5.2
infmet-0061,inf-0011,2025-12-31,73430,418,391.29,167.7,0.76
infmet-0062,inf-0011,2026-01-31,76060,425,360.45,154.48,0.68
infmet-0063,inf-0011,2026-02-28,74983,429,315.23,135.1,0.6
infmet-0064,inf-0011,2026-03-31,79339,438,376.33,161.28,0.68
infmet-0065,inf-0011,2026-04-30,78318,445,360.07,154.32,0.66
infmet-0066,inf-0011,2026-05-31,78307,450,338.78,192.77,0.68
infmet-0067,inf-0012,2025-12-31,19030,195,907.08,388.75,6.81
infmet-0068,inf-0012,2026-01-31,18806,199,887.63,380.41,6.74
infmet-0069,inf-0012,2026-02-28,18501,208,947.83,406.21,7.32
infmet-0070,inf-0012,2026-03-31,19471,212,853.24,365.67,6.26
infmet-0071,inf-0012,2026-04-30,20292,218,784.95,336.41,5.53
infmet-0072,inf-0012,2026-05-31,19749,220,637.5,529.34,5.91
infmet-0073,inf-0013,2025-12-31,54804,410,50.93,6.2,0.1
infmet-0074,inf-0013,2026-01-31,57805,416,53.15,4.66,0.1
infmet-0075,inf-0013,2026-02-28,59271,421,55.03,4.24,0.1
infmet-0076,inf-0013,2026-03-31,60376,427,55.02,7.07,0.1
infmet-0077,inf-0013,2026-04-30,61803,436,57.31,4.49,0.1
infmet-0078,inf-0013,2026-05-31,64795,443,50.11,5.01,0.09
infmet-0079,inf-0014,2025-12-31,54392,24,73.51,5.6,0.15
infmet-0080,inf-0014,2026-01-31,53995,27,72.84,5.79,0.15
infmet-0081,inf-0014,2026-02-28,52764,34,79.13,6.36,0.16
infmet-0082,inf-0014,2026-03-31,51326,42,83.53,8.39,0.18
infmet-0083,inf-0014,2026-04-30,50557,48,71.65,6.49,0.15
infmet-0084,inf-0014,2026-05-31,50050,55,71.85,6.89,0.16
infmet-0085,inf-0015,2025-12-31,52489,75,54.98,23.56,0.15
infmet-0086,inf-0015,2026-01-31,51269,76,58.2,24.94,0.16
infmet-0087,inf-0015,2026-02-28,55286,82,65.45,28.05,0.17
infmet-0088,inf-0015,2026-03-31,54358,87,69.73,29.89,0.18
infmet-0089,inf-0015,2026-04-30,56428,92,64.45,27.62,0.16
infmet-0090,inf-0015,2026-05-31,57476,92,37.95,35.32,0.13
infmet-0091,inf-0016,2025-12-31,38877,227,175.47,75.2,0.64
infmet-0092,inf-0016,2026-01-31,38886,233,164.82,70.64,0.61
infmet-0093,inf-0016,2026-02-28,39827,239,191.54,82.09,0.69
infmet-0094,inf-0016,2026-03-31,41106,245,222.38,95.31,0.77
infmet-0095,inf-0016,2026-04-30,40620,251,218.49,93.64,0.77
infmet-0096,inf-0016,2026-05-31,40808,259,141.16,98.82,0.59
infmet-0097,inf-0017,2025-12-31,31432,172,310.28,132.98,1.41
infmet-0098,inf-0017,2026-01-31,33328,174,372.02,159.44,1.59
infmet-0099,inf-0017,2026-02-28,33205,179,330.33,141.57,1.42
infmet-0100,inf-0017,2026-03-31,35381,181,400.43,171.61,1.62
infmet-0101,inf-0017,2026-04-30,35645,188,439.83,188.5,1.76
infmet-0102,inf-0017,2026-05-31,37508,192,356.35,310.04,1.78
infmet-0103,inf-0018,2025-12-31,85220,258,369.76,3.73,0.44
infmet-0104,inf-0018,2026-01-31,89005,264,397.72,4.02,0.45
infmet-0105,inf-0018,2026-02-28,92872,270,468.69,4.73,0.51
infmet-0106,inf-0018,2026-03-31,92154,277,412.01,4.16,0.45
infmet-0107,inf-0018,2026-04-30,96771,284,382.96,3.87,0.4
infmet-0108,inf-0018,2026-05-31,95064,288,412.79,0.77,0.44
infmet-0109,inf-0019,2025-12-31,36759,456,274.18,82.35,0.97
infmet-0110,inf-0019,2026-01-31,37159,457,256.3,109.84,0.99
infmet-0111,inf-0019,2026-02-28,37804,463,302.41,118.83,1.11
infmet-0112,inf-0019,2026-03-31,37999,465,321.31,137.7,1.21
infmet-0113,inf-0019,2026-04-30,40626,467,393.88,93.83,1.2
infmet-0114,inf-0019,2026-05-31,44152,470,288.96,96.06,0.87
infmet-0115,inf-0020,2025-12-31,70464,193,704.16,301.78,1.43
infmet-0116,inf-0020,2026-01-31,68463,195,643.51,275.79,1.34
infmet-0117,inf-0020,2026-02-28,72515,198,767.16,328.78,1.51
infmet-0118,inf-0020,2026-03-31,75885,199,870.56,373.1,1.64
infmet-0119,inf-0020,2026-04-30,74811,200,757.98,324.85,1.45
infmet-0120,inf-0020,2026-05-31,78763,202,691.8,463.0,1.47
infmet-0121,inf-0021,2025-12-31,85401,38,884.58,45.37,1.09
infmet-0122,inf-0021,2026-01-31,83161,39,752.39,27.15,0.94
infmet-0123,inf-0021,2026-02-28,90364,43,685.33,36.05,0.8
