influencer_follower_demo_id,influencer_id,collected_date,influencer_follower_gender,influencer_follower_age_group,engagement_type,engaged_follower_count,engaged_follower_ratio
inffol-0001,inf-0001,2026-06-01,남성,10대,like,18,3.31
inffol-0002,inf-0001,2026-06-01,남성,20대,like,38,6.99
inffol-0003,inf-0001,2026-06-01,남성,30대,like,112,20.59
inffol-0004,inf-0001,2026-06-01,남성,40대,like,36,6.62
inffol-0005,inf-0001,2026-06-01,남성,50대,like,11,2.02
inffol-0006,inf-0001,2026-06-01,남성,60대+,like,1,0.18
inffol-0007,inf-0001,2026-06-01,여성,10대,like,4,0.74
inffol-0008,inf-0001,2026-06-01,여성,20대,like,15,2.76
inffol-0009,inf-0001,2026-06-01,여성,30대,like,47,8.64
inffol-0010,inf-0001,2026-06-01,여성,40대,like,15,2.76
inffol-0011,inf-0001,2026-06-01,여성,50대,like,5,0.92
inffol-0012,inf-0001,2026-06-01,남성,10대,comment,13,2.39
inffol-0013,inf-0001,2026-06-01,남성,20대,comment,22,4.04
inffol-0014,inf-0001,2026-06-01,남성,30대,comment,78,14.34
inffol-0015,inf-0001,2026-06-01,남성,40대,comment,34,6.25
inffol-0016,inf-0001,2026-06-01,남성,50대,comment,12,2.21
inffol-0017,inf-0001,2026-06-01,여성,10대,comment,7,1.29
inffol-0018,inf-0001,2026-06-01,여성,20대,comment,20,3.68
inffol-0019,inf-0001,2026-06-01,여성,30대,comment,42,7.72
inffol-0020,inf-0001,2026-06-01,여성,40대,comment,9,1.65
inffol-0021,inf-0001,2026-06-01,여성,50대,comment,5,0.92
inffol-0022,inf-0002,2026-06-01,남성,10대,like,41,3.61
inffol-0023,inf-0002,2026-06-01,남성,20대,like,27,2.37
inffol-0024,inf-0002,2026-06-01,남성,30대,like,146,12.84
inffol-0025,inf-0002,2026-06-01,남성,40대,like,13,1.14
inffol-0026,inf-0002,2026-06-01,남성,50대,like,22,1.93
inffol-0027,inf-0002,2026-06-01,여성,10대,like,57,5.01
inffol-0028,inf-0002,2026-06-01,여성,20대,like,94,8.27
inffol-0029,inf-0002,2026-06-01,여성,30대,like,306,26.91
inffol-0030,inf-0002,2026-06-01,여성,40대,like,34,2.99
inffol-0031,inf-0002,2026-06-01,여성,50대,like,65,5.72
inffol-0032,inf-0002,2026-06-01,남성,10대,comment,24,2.11
inffol-0033,inf-0002,2026-06-01,남성,20대,comment,11,0.97
inffol-0034,inf-0002,2026-06-01,남성,30대,comment,75,6.6
inffol-0035,inf-0002,2026-06-01,남성,40대,comment,6,0.53
inffol-0036,inf-0002,2026-06-01,남성,50대,comment,5,0.44
inffol-0037,inf-0002,2026-06-01,여성,10대,comment,32,2.81
inffol-0038,inf-0002,2026-06-01,여성,20대,comment,37,3.25
inffol-0039,inf-0002,2026-06-01,여성,30대,comment,112,9.85
inffol-0040,inf-0002,2026-06-01,여성,40대,comment,9,0.79
inffol-0041,inf-0002,2026-06-01,여성,50대,comment,21,1.85
inffol-0042,inf-0003,2026-06-01,남성,20대,like,26,5.56
inffol-0043,inf-0003,2026-06-01,남성,30대,like,84,17.95
inffol-0044,inf-0003,2026-06-01,남성,40대,like,25,5.34
inffol-0045,inf-0003,2026-06-01,남성,50대,like,1,0.21
inffol-0046,inf-0003,2026-06-01,여성,10대,like,1,0.21
inffol-0047,inf-0003,2026-06-01,여성,20대,like,29,6.2
inffol-0048,inf-0003,2026-06-01,여성,30대,like,55,11.75
inffol-0049,inf-0003,2026-06-01,여성,40대,like,17,3.63
inffol-0050,inf-0003,2026-06-01,여성,50대,like,1,0.21
inffol-0051,inf-0003,2026-06-01,남성,20대,comment,28,5.98
inffol-0052,inf-0003,2026-06-01,남성,30대,comment,104,22.22
inffol-0053,inf-0003,2026-06-01,남성,40대,comment,17,3.63
inffol-0054,inf-0003,2026-06-01,여성,20대,comment,21,4.49
inffol-0055,inf-0003,2026-06-01,여성,30대,comment,43,9.19
inffol-0056,inf-0003,2026-06-01,여성,40대,comment,15,3.21
inffol-0057,inf-0003,2026-06-01,여성,50대,comment,1,0.21
inffol-0058,inf-0004,2026-06-01,남성,10대,like,50,8.56
inffol-0059,inf-0004,2026-06-01,남성,20대,like,53,9.08
inffol-0060,inf-0004,2026-06-01,남성,30대,like,38,6.51
inffol-0061,inf-0004,2026-06-01,남성,40대,like,97,16.61
inffol-0062,inf-0004,2026-06-01,남성,50대,like,11,1.88
inffol-0063,inf-0004,2026-06-01,남성,60대+,like,2,0.34
inffol-0064,inf-0004,2026-06-01,여성,10대,like,28,4.79
inffol-0065,inf-0004,2026-06-01,여성,20대,like,41,7.02
inffol-0066,inf-0004,2026-06-01,여성,30대,like,32,5.48
inffol-0067,inf-0004,2026-06-01,여성,40대,like,47,8.05
inffol-0068,inf-0004,2026-06-01,여성,50대,like,6,1.03
inffol-0069,inf-0004,2026-06-01,남성,10대,comment,22,3.77
inffol-0070,inf-0004,2026-06-01,남성,20대,comment,22,3.77
inffol-0071,inf-0004,2026-06-01,남성,30대,comment,17,2.91
inffol-0072,inf-0004,2026-06-01,남성,40대,comment,28,4.79
inffol-0073,inf-0004,2026-06-01,남성,50대,comment,11,1.88
inffol-0074,inf-0004,2026-06-01,여성,10대,comment,15,2.57
inffol-0075,inf-0004,2026-06-01,여성,20대,comment,13,2.23
inffol-0076,inf-0004,2026-06-01,여성,30대,comment,15,2.57
inffol-0077,inf-0004,2026-06-01,여성,40대,comment,32,5.48
inffol-0078,inf-0004,2026-06-01,여성,50대,comment,3,0.51
inffol-0079,inf-0004,2026-06-01,여성,60대+,comment,1,0.17
inffol-0080,inf-0005,2026-06-01,남성,10대,like,15,1.31
inffol-0081,inf-0005,2026-06-01,남성,20대,like,384,33.42
inffol-0082,inf-0005,2026-06-01,남성,30대,like,40,3.48
inffol-0083,inf-0005,2026-06-01,남성,40대,like,84,7.31
inffol-0084,inf-0005,2026-06-01,남성,50대,like,5,0.44
inffol-0085,inf-0005,2026-06-01,남성,60대+,like,7,0.61
inffol-0086,inf-0005,2026-06-01,여성,10대,like,2,0.17
inffol-0087,inf-0005,2026-06-01,여성,20대,like,56,4.87
inffol-0088,inf-0005,2026-06-01,여성,30대,like,10,0.87
inffol-0089,inf-0005,2026-06-01,여성,40대,like,16,1.39
inffol-0090,inf-0005,2026-06-01,여성,60대+,like,1,0.09
inffol-0091,inf-0005,2026-06-01,남성,10대,comment,9,0.78
inffol-0092,inf-0005,2026-06-01,남성,20대,comment,331,28.81
inffol-0093,inf-0005,2026-06-01,남성,30대,comment,35,3.05
inffol-0094,inf-0005,2026-06-01,남성,40대,comment,78,6.79
