recommendation_id,campaign_id,influencer_id,recommendation_rank,recommendation_level,funnel_stage,recommendation_score,performance_prediction_score,predicted_reach_rate,predicted_reach_count,predicted_engagement_rate,predicted_engagement_count,predicted_like_count,predicted_comment_count,is_final_recommended,is_performance_candidate,influencer_fit_score_id,recommended_date,scoring_rule_version
rec-0001,cam-0001,inf-0035,1,강력 추천,최종 추천 후보,85.32,80.8,37.81,9828,6.88,1788,1113,675,1,1,inffit-0001,2026-06-01,v1.0
rec-0002,cam-0001,inf-0054,2,추천,최종 추천 후보,83.91,80.0,36.12,29099,2.1,1692,904,788,1,1,inffit-0002,2026-06-01,v1.0
rec-0003,cam-0001,inf-0200,3,추천,최종 추천 후보,74.57,57.6,36.76,1596,29.36,1275,977,298,1,0,inffit-0003,2026-06-01,v1.0
rec-0004,cam-0001,inf-0191,4,추천,최종 추천 후보,73.96,67.2,37.26,3192,16.29,1396,1061,335,1,1,inffit-0004,2026-06-01,v1.0
rec-0005,cam-0001,inf-0024,5,추천,최종 추천 후보,73.48,87.0,33.01,28935,2.39,2095,1057,1038,1,1,inffit-0010,2026-06-01,v1.0
rec-0006,cam-0001,inf-0156,6,검토 가능,최종 추천 후보,69.62,72.0,33.68,9359,5.54,1539,801,738,1,1,inffit-0008,2026-06-01,v1.0
rec-0007,cam-0001,inf-0105,7,검토 가능,최종 추천 후보,65.63,63.8,32.09,21624,2.06,1388,826,562,1,1,inffit-0013,2026-06-01,v1.0
rec-0008,cam-0001,inf-0196,8,검토 가능,최종 추천 후보,65.56,67.6,30.05,27040,1.62,1458,1010,448,1,1,inffit-0016,2026-06-01,v1.0
rec-0009,cam-0001,inf-0186,9,검토 가능,최종 추천 후보,64.9,77.6,28.78,890,57.07,1764,951,813,1,1,inffit-0025,2026-06-01,v1.0
rec-0010,cam-0001,inf-0169,10,검토 가능,최종 추천 후보,64.78,77.2,27.02,26130,1.86,1799,960,839,1,1,inffit-0024,2026-06-01,v1.0
rec-0011,cam-0001,inf-0165,11,검토 가능,1차 후보,62.51,61.6,28.7,15740,2.46,1349,869,480,0,0,inffit-0017,2026-06-01,v1.0
rec-0012,cam-0001,inf-0074,12,검토 가능,예상 성과 후보,62.5,71.0,29.93,6675,6.86,1530,812,718,0,1,inffit-0026,2026-06-01,v1.0
rec-0013,cam-0001,inf-0117,13,검토 가능,예상 성과 후보,61.69,77.4,29.08,19301,2.62,1739,1042,697,0,1,inffit-0042,2026-06-01,v1.0
rec-0014,cam-0001,inf-0153,14,검토 가능,예상 성과 후보,61.58,69.8,28.93,25014,1.84,1591,820,771,0,1,inffit-0030,2026-06-01,v1.0
rec-0015,cam-0001,inf-0142,15,검토 가능,예상 성과 후보,60.95,68.8,27.28,17856,2.35,1538,824,714,0,1,inffit-0034,2026-06-01,v1.0
rec-0016,cam-0001,inf-0194,16,검토 가능,예상 성과 후보,60.4,67.2,31.02,16153,2.73,1422,864,558,0,1,inffit-0035,2026-06-01,v1.0
rec-0017,cam-0001,inf-0031,17,검토 가능,예상 성과 후보,60.34,71.6,26.22,18733,2.28,1629,928,701,0,1,inffit-0039,2026-06-01,v1.0
rec-0018,cam-0001,inf-0022,18,검토 가능,1차 후보,60.28,45.4,30.73,25735,1.31,1097,815,282,0,0,inffit-0012,2026-06-01,v1.0
rec-0019,cam-0001,inf-0190,19,검토 가능,1차 후보,59.8,63.4,30.32,4026,10.11,1342,1027,315,0,0,inffit-0028,2026-06-01,v1.0
rec-0020,cam-0001,inf-0069,20,검토 가능,1차 후보,59.76,63.8,33.21,22533,2.03,1377,901,476,0,0,inffit-0032,2026-06-01,v1.0
rec-0021,cam-0001,inf-0036,21,검토 가능,1차 후보,59.5,62.2,27.28,4160,8.63,1316,903,413,0,0,inffit-0027,2026-06-01,v1.0
rec-0022,cam-0001,inf-0145,22,검토 가능,적합도 우수 후보,59.43,34.6,32.05,18879,1.27,748,667,81,0,0,inffit-0006,2026-06-01,v1.0
rec-0023,cam-0001,inf-0061,23,검토 가능,1차 후보,59.2,58.2,30.04,13273,2.96,1308,853,455,0,0,inffit-0023,2026-06-01,v1.0
rec-0024,cam-0001,inf-0107,24,검토 가능,1차 후보,59.03,45.8,27.73,6718,3.5,848,788,60,0,0,inffit-0015,2026-06-01,v1.0
rec-0025,cam-0001,inf-0118,25,검토 가능,1차 후보,58.83,34.2,35.5,4247,2.97,355,178,177,0,0,inffit-0007,2026-06-01,v1.0
rec-0026,cam-0001,inf-0129,26,검토 가능,1차 후보,58.31,53.7,33.0,21758,1.91,1259,760,499,0,0,inffit-0021,2026-06-01,v1.0
rec-0027,cam-0001,inf-0058,27,검토 가능,1차 후보,57.91,58.2,29.42,16333,2.36,1310,820,490,0,0,inffit-0033,2026-06-01,v1.0
rec-0028,cam-0001,inf-0112,28,검토 가능,1차 후보,57.68,52.6,29.51,26572,1.33,1198,855,343,0,0,inffit-0022,2026-06-01,v1.0
rec-0029,cam-0001,inf-0033,29,검토 가능,적합도 우수 후보,55.68,21.0,32.17,10526,0.94,308,168,140,0,0,inffit-0005,2026-06-01,v1.0
rec-0030,cam-0001,inf-0051,30,검토 가능,1차 후보,55.67,58.8,25.63,960,34.68,1299,907,392,0,0,inffit-0045,2026-06-01,v1.0
rec-0031,cam-0001,inf-0137,31,검토 가능,1차 후보,55.0,47.5,28.35,17424,1.91,1174,594,580,0,0,inffit-0029,2026-06-01,v1.0
rec-0032,cam-0001,inf-0086,32,낮은 적합도,1차 후보,54.86,56.8,29.19,503,72.51,1249,683,566,0,0,inffit-0049,2026-06-01,v1.0
rec-0033,cam-0001,inf-0199,33,낮은 적합도,1차 후보,53.98,33.8,31.29,28307,0.66,597,348,249,0,0,inffit-0018,2026-06-01,v1.0
rec-0034,cam-0001,inf-0132,34,낮은 적합도,1차 후보,53.19,20.6,30.86,19413,0.21,132,101,31,0,0,inffit-0011,2026-06-01,v1.0
rec-0035,cam-0001,inf-0005,35,낮은 적합도,1차 후보,53.18,48.2,30.3,16784,2.09,1158,625,533,0,0,inffit-0041,2026-06-01,v1.0
rec-0036,cam-0001,inf-0181,36,낮은 적합도,1차 후보,53.1,41.6,28.3,5323,3.7,696,370,326,0,0,inffit-0031,2026-06-01,v1.0
rec-0037,cam-0001,inf-0002,37,낮은 적합도,1차 후보,52.26,44.8,29.26,26420,1.23,1111,787,324,0,0,inffit-0040,2026-06-01,v1.0
rec-0038,cam-0001,inf-0109,38,낮은 적합도,1차 후보,52.15,42.0,26.68,26434,0.89,882,607,275,0,0,inffit-0036,2026-06-01,v1.0
rec-0039,cam-0001,inf-0077,39,낮은 적합도,1차 후보,51.88,21.0,27.45,22423,0.15,123,106,17,0,0,inffit-0014,2026-06-01,v1.0
rec-0040,cam-0001,inf-0100,40,낮은 적합도,1차 후보,51.88,41.2,29.53,445,43.92,661,438,223,0,0,inffit-0037,2026-06-01,v1.0
rec-0041,cam-0001,inf-0028,41,낮은 적합도,1차 후보,51.38,44.8,27.63,5026,4.48,815,756,59,0,0,inffit-0047,2026-06-01,v1.0
rec-0042,cam-0001,inf-0121,42,낮은 적합도,1차 후보,51.18,43.0,28.07,3587,5.87,750,454,296,0,0,inffit-0044,2026-06-01,v1.0
rec-0043,cam-0001,inf-0178,43,낮은 적합도,1차 후보,50.9,9.6,31.21,2364,0.87,66,34,32,0,0,inffit-0009,2026-06-01,v1.0
rec-0044,cam-0001,inf-0047,44,낮은 적합도,1차 후보,50.64,43.7,24.88,21538,1.29,1117,655,462,0,0,inffit-0050,2026-06-01,v1.0
