campaign_influencer_id,influencer_id,campaign_id,applied_at,selected_at,participation_status,reward_amount
caminf-0001,Inf-0059,cam-0001,2026-05-19 12:17,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0002,Inf-0041,cam-0001,2026-05-17 14:42,,지원,0
caminf-0003,Inf-0035,cam-0001,2026-05-19 3:29,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0004,Inf-0103,cam-0001,2026-05-18 21:29,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0005,Inf-0185,cam-0001,2026-05-18 13:19,2026-05-23 10:00,선정,0
caminf-0006,Inf-0199,cam-0001,2026-05-20 10:30,,지원,0
caminf-0007,Inf-0096,cam-0001,2026-05-21 7:11,,지원,0
caminf-0008,Inf-0005,cam-0001,2026-05-21 19:12,2026-05-23 10:00,선정,0
caminf-0009,Inf-0030,cam-0001,2026-05-19 9:53,2026-05-23 10:00,선정,0
caminf-0010,Inf-0169,cam-0001,2026-05-22 1:03,,지원,0
caminf-0011,Inf-0172,cam-0001,2026-05-20 23:05,,지원,0
caminf-0012,Inf-0019,cam-0001,2026-05-22 4:56,,지원,0
caminf-0013,Inf-0012,cam-0001,2026-05-18 5:32,,지원,0
caminf-0014,Inf-0090,cam-0001,2026-05-20 10:17,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0015,Inf-0111,cam-0001,2026-05-20 20:51,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0016,Inf-0119,cam-0001,2026-05-18 3:31,,지원,0
caminf-0017,Inf-0160,cam-0001,2026-05-17 22:15,,지원,0
caminf-0018,Inf-0036,cam-0001,2026-05-16 10:45,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0019,Inf-0137,cam-0001,2026-05-17 20:24,,지원,0
caminf-0020,Inf-0060,cam-0001,2026-05-21 15:39,,지원,0
caminf-0021,Inf-0052,cam-0001,2026-05-17 4:15,2026-05-23 10:00,선정,0
caminf-0022,Inf-0017,cam-0001,2026-05-17 22:06,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0023,Inf-0045,cam-0001,2026-05-17 9:30,,지원,0
caminf-0024,Inf-0095,cam-0001,2026-05-21 9:09,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0025,Inf-0032,cam-0001,2026-05-20 19:58,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0026,Inf-0163,cam-0001,2026-05-17 4:43,,지원,0
caminf-0027,Inf-0104,cam-0002,2026-05-19 9:15,2026-05-23 10:00,콘텐츠 등록 완료,20000
caminf-0028,Inf-0049,cam-0002,2026-05-19 15:35,,지원,0
caminf-0029,Inf-0041,cam-0002,2026-05-20 17:30,2026-05-23 10:00,선정,0
caminf-0030,Inf-0149,cam-0002,2026-05-17 15:35,,지원,0
caminf-0031,Inf-0186,cam-0002,2026-05-17 8:14,,지원,0
caminf-0032,Inf-0075,cam-0002,2026-05-19 20:47,,지원,0
